,แขวง,ประเภทอาหาร,Restaurant Name,Link,description
6,บางรัก,Japanese,ร้าน JUA,"https://www.google.com/maps/place/JUA+Izakaya/@13.7306921,100.5123262,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e298d9721d063d:0xa17127b1afd90638!8m2!3d13.7306869!4d100.5149011!16s%2Fg%2F11ck2yxbfn?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ริมแม่น้ำเจ้าพระยา
7,บางรัก,Thai,Jack's Bar,"https://www.google.com/maps/place/Jack's+Bar/@13.7306921,100.5123262,852m/data=!3m1!1e3!4m6!3m5!1s0x30e298c4970ebedb:0x793779d72a120dbc!8m2!3d13.7223976!4d100.5135821!16s%2Fg%2F11b6zsny3g?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ริมแม่น้ำเจ้าพระยา
8,บางรัก,Thai,ร้าน ณ รชา ครัวริมน้ำ 32,"https://www.google.com/maps/place/Racha+Riverside32/@13.7272742,100.5110772,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e2996483fc90cd:0x8cdbf0ca276ba469!8m2!3d13.727269!4d100.5136521!16s%2Fg%2F11lq2794ds?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ริมแม่น้ำเจ้าพระยา
9,บางรัก,Thai,Baan Phadthai,"https://www.google.com/maps/place/Baan+Phadthai/@13.7207965,100.5106337,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e298c4554fe7d5:0x857e4651df398aea!8m2!3d13.7207913!4d100.5155046!16s%2Fg%2F11bzsfggxj?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",
10,บางรัก,Thai,มาซาโร่ บูทิค แอนด์ เรสเทอรองท์,"https://www.google.com/maps/place/Mazzaro+Boutique+and+Restaurant/@13.7207965,100.5106337,852m/data=!3m1!1e3!4m6!3m5!1s0x30e298dae80057c9:0xd2bd6e888ef8a9e5!8m2!3d13.721293!4d100.5157812!16s%2Fg%2F1tdv2_v9?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",
11,บางรัก,Thai,ร้านอาหารอักษร,"https://www.google.com/maps/place/Aksorn/@13.7212982,100.5132063,852m/data=!3m1!1e3!4m6!3m5!1s0x30e2996bd1ab1511:0x519ff926a421da5e!8m2!3d13.7245013!4d100.516239!16s%2Fg%2F11kxcl0tv6?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",
12,บางรัก,Thai,เอ็ทตี้ ทเวนตี้,"https://www.google.com/maps/place/80%2F20+Eighty+Twenty/@13.7311116,100.5128961,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29910ab5387cf:0x73fd412d73b35383!8m2!3d13.7311064!4d100.515471!16s%2Fg%2F11ffm1gjn6?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",
,,,,,
1,บางรัก,Thai,ฮาร์โมนิค,"https://www.google.com/maps/place/Harmonique/@13.7263923,100.5132156,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e298dafe95fbcf:0x1245f27cb1708e17!8m2!3d13.7263871!4d100.5157905!16s%2Fg%2F1tmg8wd0?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",
2,บางรัก,Thai,บ้านส้มตำ,"https://www.google.com/maps/place/Baan+Somtum+%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B8%B3+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%A3%E0%B8%B1%E0%B8%81/@13.7251529,100.5134086,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e2998d23f0ed9b:0x1e322b43284d2937!8m2!3d13.7251477!4d100.5159835!16s%2Fg%2F11h_1hk46l?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",
3,บางรัก,Western,Cholos Mexican Charoen Krung,https://maps.app.goo.gl/vPmtdYmozoA7WEax7,
4,บางรัก,Fusion,Breeze,https://maps.app.goo.gl/vnXr1ZzUKu1VjYSv8,
5,บางรัก,Western,Cozii Steak and Restaurant,https://maps.app.goo.gl/uiJNRizCwKDBpwDd8,
